source_file,national_dex_id,ids_sharing_this_source
DARMANITAN_1.png,DARMANITAN_GALAR_STANDARD,DARMANITAN_GALAR_STANDARD; DARMANITAN_GALAR_ZEN; DARMANITAN_ZEN
DARMANITAN_1.png,DARMANITAN_GALAR_ZEN,DARMANITAN_GALAR_STANDARD; DARMANITAN_GALAR_ZEN; DARMANITAN_ZEN
DARMANITAN_1.png,DARMANITAN_ZEN,DARMANITAN_GALAR_STANDARD; DARMANITAN_GALAR_ZEN; DARMANITAN_ZEN
GRENINJA_2.png,GRENINJA_ASH,GRENINJA_ASH; GRENINJA_BATTLE_BOND
GRENINJA_2.png,GRENINJA_BATTLE_BOND,GRENINJA_ASH; GRENINJA_BATTLE_BOND
MAROWAK_1.png,MAROWAK_ALOLA,MAROWAK_ALOLA; MAROWAK_TOTEM
MAROWAK_1.png,MAROWAK_TOTEM,MAROWAK_ALOLA; MAROWAK_TOTEM
MINIOR.png,MINIOR,MINIOR; MINIOR_BLUE_METEOR; MINIOR_GREEN_METEOR; MINIOR_INDIGO_METEOR; MINIOR_ORANGE_METEOR; MINIOR_VIOLET_METEOR; MINIOR_YELLOW_METEOR
MINIOR.png,MINIOR_BLUE_METEOR,MINIOR; MINIOR_BLUE_METEOR; MINIOR_GREEN_METEOR; MINIOR_INDIGO_METEOR; MINIOR_ORANGE_METEOR; MINIOR_VIOLET_METEOR; MINIOR_YELLOW_METEOR
MINIOR.png,MINIOR_GREEN_METEOR,MINIOR; MINIOR_BLUE_METEOR; MINIOR_GREEN_METEOR; MINIOR_INDIGO_METEOR; MINIOR_ORANGE_METEOR; MINIOR_VIOLET_METEOR; MINIOR_YELLOW_METEOR
MINIOR.png,MINIOR_INDIGO_METEOR,MINIOR; MINIOR_BLUE_METEOR; MINIOR_GREEN_METEOR; MINIOR_INDIGO_METEOR; MINIOR_ORANGE_METEOR; MINIOR_VIOLET_METEOR; MINIOR_YELLOW_METEOR
MINIOR.png,MINIOR_ORANGE_METEOR,MINIOR; MINIOR_BLUE_METEOR; MINIOR_GREEN_METEOR; MINIOR_INDIGO_METEOR; MINIOR_ORANGE_METEOR; MINIOR_VIOLET_METEOR; MINIOR_YELLOW_METEOR
MINIOR.png,MINIOR_VIOLET_METEOR,MINIOR; MINIOR_BLUE_METEOR; MINIOR_GREEN_METEOR; MINIOR_INDIGO_METEOR; MINIOR_ORANGE_METEOR; MINIOR_VIOLET_METEOR; MINIOR_YELLOW_METEOR
MINIOR.png,MINIOR_YELLOW_METEOR,MINIOR; MINIOR_BLUE_METEOR; MINIOR_GREEN_METEOR; MINIOR_INDIGO_METEOR; MINIOR_ORANGE_METEOR; MINIOR_VIOLET_METEOR; MINIOR_YELLOW_METEOR
PIKACHU.png,PIKACHU,PIKACHU; PIKACHU_STARTER
PIKACHU.png,PIKACHU_STARTER,PIKACHU; PIKACHU_STARTER
PIKACHU_10.png,PIKACHU_SINNOH_CAP,PIKACHU_SINNOH_CAP; PIKACHU_WORLD_CAP
PIKACHU_10.png,PIKACHU_WORLD_CAP,PIKACHU_SINNOH_CAP; PIKACHU_WORLD_CAP
RATICATE_1.png,RATICATE_ALOLA,RATICATE_ALOLA; RATICATE_TOTEM_ALOLA
RATICATE_1.png,RATICATE_TOTEM_ALOLA,RATICATE_ALOLA; RATICATE_TOTEM_ALOLA
TERAPAGOS_1.png,TERAPAGOS_STELLAR,TERAPAGOS_STELLAR; TERAPAGOS_TERASTAL
TERAPAGOS_1.png,TERAPAGOS_TERASTAL,TERAPAGOS_STELLAR; TERAPAGOS_TERASTAL
ZYGARDE.png,ZYGARDE,ZYGARDE; ZYGARDE_10_POWER_CONSTRUCT; ZYGARDE_50_POWER_CONSTRUCT; ZYGARDE_COMPLETE
ZYGARDE.png,ZYGARDE_10_POWER_CONSTRUCT,ZYGARDE; ZYGARDE_10_POWER_CONSTRUCT; ZYGARDE_50_POWER_CONSTRUCT; ZYGARDE_COMPLETE
ZYGARDE.png,ZYGARDE_50_POWER_CONSTRUCT,ZYGARDE; ZYGARDE_10_POWER_CONSTRUCT; ZYGARDE_50_POWER_CONSTRUCT; ZYGARDE_COMPLETE
ZYGARDE.png,ZYGARDE_COMPLETE,ZYGARDE; ZYGARDE_10_POWER_CONSTRUCT; ZYGARDE_50_POWER_CONSTRUCT; ZYGARDE_COMPLETE
